City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,Tiksi,71.6872,128.8694,-12.42,91,19,10.47,RU,2022-02-14 01:45:17
88,Ranghulu,46.65,124.8667,-0.22,93,100,7.47,CN,2022-02-14 01:45:18
89,Coihaique,-45.5752,-72.0662,63.21,55,82,3.44,CL,2022-02-14 01:46:18
90,Terme,41.2092,36.9739,40.93,78,100,2.57,TR,2022-02-14 01:46:19
91,Hun,29.1268,15.9477,49.86,48,0,8.97,LY,2022-02-14 01:46:20
92,Pevek,69.7008,170.3133,-15.95,97,100,8.41,RU,2022-02-14 01:46:20
93,The Valley,18.217,-63.0578,77.09,67,3,20.33,AI,2022-02-14 01:42:11
94,Wau,7.7029,27.9953,72.7,17,73,4.34,SS,2022-02-14 01:46:21
95,Kununurra,-15.7667,128.7333,75.18,94,40,3.44,AU,2022-02-14 01:46:22
96,Jaciara,-15.9653,-54.9683,71.92,93,100,2.13,BR,2022-02-14 01:46:22
97,Hamilton,39.1834,-84.5333,21.97,78,100,12.66,US,2022-02-14 01:46:23
98,Amahai,-3.3333,128.9167,80.47,77,100,0.63,ID,2022-02-14 01:46:23
99,Pokaran,26.9167,71.9167,60.67,25,0,2.24,IN,2022-02-14 01:46:24
100,Okhotsk,59.3833,143.3,-4.59,75,0,14.23,RU,2022-02-14 01:46:24
101,Georgetown,5.4112,100.3354,82.33,85,20,5.01,MY,2022-02-14 01:42:49
102,Henties Bay,-22.116,14.2845,72.86,87,68,5.91,NA,2022-02-14 01:46:25
103,Pemberton,50.3164,-122.8027,44.29,92,100,2.46,CA,2022-02-14 01:46:26
104,Katsuura,35.1333,140.3,46.11,68,99,23.6,JP,2022-02-14 01:46:27
105,Galveston,29.3669,-94.9669,54.18,62,0,4.61,US,2022-02-14 01:46:27
106,High Level,58.5169,-117.136,3.31,72,75,5.75,CA,2022-02-14 01:45:04
107,Marienburg,54.0359,19.0266,38.86,77,98,14.25,PL,2022-02-14 01:46:28
108,Bohicon,7.1783,2.0667,76.08,84,2,3.4,BJ,2022-02-14 01:46:29
109,Mahibadhoo,3.7833,72.9667,81.14,75,82,7.72,MV,2022-02-14 01:46:29
110,Fairbanks,64.8378,-147.7164,10.31,80,100,5.75,US,2022-02-14 01:41:45
111,Fremont,37.5483,-121.9886,71.58,56,0,5.75,US,2022-02-14 01:42:36
112,Dunedin,-45.8742,170.5036,61.81,60,72,11.01,NZ,2022-02-14 01:46:30
113,Dikson,73.5069,80.5464,-5.42,88,100,23.17,RU,2022-02-14 01:46:31
114,Fare,-16.7,-151.0167,81.46,73,100,14.58,PF,2022-02-14 01:46:31
115,Sassandra,4.95,-6.0833,76.66,89,100,4.97,CI,2022-02-14 01:46:32
116,Sambava,-14.2667,50.1667,73.69,91,26,4.68,MG,2022-02-14 01:46:33
117,Mangai,-4.05,19.5333,67.42,96,100,1.16,CD,2022-02-14 01:46:34
118,Denpasar,-8.65,115.2167,83.86,79,20,3.44,ID,2022-02-14 01:44:47
119,Faanui,-16.4833,-151.75,80.38,75,100,13.85,PF,2022-02-14 01:46:35
120,Kahului,20.8947,-156.47,80.62,63,20,14.97,US,2022-02-14 01:33:13
121,Vila Velha,-20.3297,-40.2925,75.15,97,40,4.0,BR,2022-02-14 01:46:35
122,Omsukchan,62.5333,155.8,-15.56,95,52,5.1,RU,2022-02-14 01:46:36
123,Catuday,16.2923,119.8062,79.48,74,23,7.9,PH,2022-02-14 01:46:37
124,Cairns,-16.9167,145.7667,88.11,68,40,20.71,AU,2022-02-14 01:46:37
125,Wasilla,61.5814,-149.4394,33.03,92,100,0.0,US,2022-02-14 01:46:38
126,Bilma,18.6853,12.9164,63.19,15,0,6.78,NE,2022-02-14 01:46:38
127,Orotukan,62.2667,151.7,-19.3,90,73,2.39,RU,2022-02-14 01:46:39
128,Arman,59.7,150.1667,4.57,70,94,8.88,RU,2022-02-14 01:46:39
129,Akdepe,42.0551,59.3788,32.09,74,6,13.0,TM,2022-02-14 01:46:40
130,Yanam,16.7333,82.2167,70.2,74,5,4.0,IN,2022-02-14 01:46:41
